reviewText,overall
"Super light-weight, decent arch support (mine is higher than average).  I was pleasantly surprised by the sole/tread on these for my circuit training classes, as I couldn't really tell by online pics.  Also pleasantly surprised that these ran ever so slightly bigger than Nike running shoes I use to wear 15+years ago - I always wore one to 1.5 sizes larger in their ""Hurache's""/running shoes, so I was really worried my size 6 would be too small - there is actually more toe room in these shoes than any other size 6 shoe I own (athletic, heel, boot).  But it is the correct amount of room from big toe to edge of shoe for me (an inch or less, I don't want my big toe being jammed into edge of shoe when lunging, jumping, etc.).  Shoes arrived with an odd yellowish color on side of one shoe, but no damage to box, paper lining etc - I was happy that a clorox wipe easily cleaned the shoe and did not discolor any further.  I am very happy and highly recommend, although I have only worked out it once!",5.0
I Love it. It is very light and the color is great.,5.0
"My wife loves these shoes. We have both been wearing sketchers and new balance for several years and recently we have both purchased Nike. There is a reason why Nike is still number 1 after all these years, you just cant beat their comfort.",5.0
"Absolutly love these shoes!! Beautiful color, comfy, and lightweight",5.0
"I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later, I'm sliding out of them while doing sled pushes.",2.0
She loves them,5.0
"These are a bit longer than they should be. I usually wear a 9 but could have easily ordered a 8.5. The width is accurate.

The pink is even pinker than shown and the light gray is over the very bright pink so it isn't as gray as shown in the picture. It makes the shoe a bit overwhelming. Also two grommets on each shoe is dark. I'm not referring to the dark grommets closer to the toe as shown in the photo, I'm talking about two grommets up at the top of of the laces (opposite side of side shown in photo). I thought it was faulty at first until I noticed they were on the same side of each shoe. Kind of odd and not pictured.

Overall, they are very comfortable shoes which is why I am keeping them...even if you can see me coming from a mile away.",3.0
great,5.0
c,5.0
Love them!,5.0
"Very nice shoe, just a bit to snug/small for my foot. The Flex wire really makes it the shoe fit tight to your foot. I need more ""wiggle"" room in my footwear, otherwise I would have kept them.",3.0
"Not sure why, but my mid section of my foot starts to hurt using these shoes for a long day or a tough workout at the gym. I've owned other nike shoes of this line but that never happened to me.",3.0
My New Gym shoes! Love them,4.0
Perfect!,5.0
Perfect!,5.0
I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,1.0
"Great shoe! Outside arch is kind of high, but I'm still breaking them in. So I'm sure that will work it's way out. I originally ordered a 9, my regular size, and it was a tad too big. Returned and ordered an 8.5 and it fits perfect!",5.0
I had to return the first pair and buy a 1/2 size smaller.  First time I've had to buy smaller for Nike.,4.0
Fit comfortable,5.0
"My favorite running shoes!  The wall of the shoe is very thin, which makes them very comfortable to wear if your feet swell as you run.  I would not recommend for use on concrete or a treadmill, as there isn't very much impact absorption, but they are perfect for trail running!",5.0
Nice fit,4.0
"I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot.",2.0
"They fit perfect, extremely comfortable",5.0
No arch support but l love the colors!,3.0
Shoe was somewhat large,4.0
love them!,5.0
"This is a great shoe for in gym workouts. I did take a 10 mile hike and had a blister on my pinky, but other than that these are very comfortable shoes!",4.0
Comfortable and light,5.0
Purchased these for my wife as she has a similar pair that is wearing out.  She has feet are difficult to fit and these fit perfectly without pressure on sensitive portions of her feet.,5.0
"I have pretty high arches and my calves always hurt at the gym with other shoes. I have been on the hunt for a good cross trainer that I can use to lift, take gym classes, and lightly jog/run on the treadmill. These have been wonderful! I don't ever have any pain in my calves or my feet when wearing these and they fit like a glove. Highly recommend!",5.0
Great shoes,5.0
These were exactly what I expected.,5.0
Love love love,5.0
I always wear a womans 9 in Nikes but these are bigger than usual. The right one almost slips off my foot a bit.  They are really light and not as sturdy as what I was looking for but over all not bad.,3.0
These shoes are awesome!!,5.0
"l always buy Nike shoes and been happy so far, but this time my left shoe fit perfectly while the right shoe was too loose on my heal and when I tighten it more it was hurting side of my foot.",3.0
Bought these as my back up shoes but they have turned into my daily ones I go to! So comfortable and my feet don't hurt after long hours on my feet. I own a cleaning business so I need my feet not to hurt in the middle of the day.,5.0
Absolutely love these shoes and color!! They are perfect for running! I run roughly 4 miles 3x per week. This is my second or 3rd pair of this exact style. Fit is perfect!,5.0
Super comfy!,5.0
Ordered half a size larger than my usual shoe size and fits perfectly.,5.0
Fit well.,5.0
The fit was perfect! I Highly recommend this shoe.,5.0
"Obsessed with these shoes! I was looking for good all around sneakers (running, walking, tennis, etc.) and these more than fit the bill. I was looking specifically for black nikes (I love the fit) with white soles (good for court sports); I was a little reluctant to purchase because I wasn't sure whether the black on the soles would contact the ground, but it doesn't!",5.0
"Cute shoe, fit as expected, and very comfortable.",5.0
"On time, nice sneakers. Fit as expected.",5.0
"Perfect fit, as always.",5.0
"Great shoe, very comfortable",5.0
Love these sneakers! Perfect fit and super light,5.0
These shoes fit like a glove! Light but very supportive! I have worn them several times and feel very light on my feet.,5.0
Fit true to size,5.0
Love the fit,5.0
Nike always makes a good shoe ..abit rough breaking them in but after 9 hours on my feet anyone's feet would hurt abit,4.0
Oops! I returned these because I ordered wrong size!,1.0
Extremely comfortable sneaker!,5.0
Good looking shoe,5.0
I have had this style before in a different color and have received many compliments on the shoes.  They are great walking shoes!  I wear orthotics and these shoes are one of the best I have found to accommodate them for fit.,4.0
"I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home, on smooth floors. I can only assume they were defective.",1.0
Great! Super comfy and cute! No issues and fit perfect!,5.0
Good shoes,5.0
I returned them...found a Ryka pair I liked better,3.0
BEST sneakers I've ever purchased!!!!,5.0
Excellent ...!!!,5.0
"the best sneakers by far! I had never owned a pair of Nike sneakers, and I went solely on the reviews by others...
And I absolutely loved them!!",5.0
"Love these shoes. I've been buying Nikes for years now. I bought this pair for work and everyday wear and another pair for working out and active wear. They also last a long time in my opinion, especially if you take care of them.",5.0
Right one is slightly tight.. hope it will stretch out.. !!,4.0
They're ugly: the toe is rounded and the material is weird. the Nike Womens Flex Trainer 6 is way better looking and costs about the same.,3.0
So lightweight and awesome!,5.0
Luv them!!,5.0
Love the color and fit. I use them to work on at the gym on the treadmill and they are very light and comfortable.,5.0
"Bought these shoes with HIIT in mind, but not too sure how I like the fit on my foot. First time to wear them, not great for running. Maybe after they're broken in a little they'll get better. If you just need a comfortable pair of shoes for walking, they're fine.",3.0
My daughter loves them. Great fit!,5.0
This is a very attractive shoe. It is true to size and fits as expected. Very satisfied with the seller - delivered on time.,5.0
"Fits good, very lightweight.",4.0
"Comfortable shoe for both workout sessions and walking.  Neither too bulky nor too light.  This is my second pair because they fit and have no neon or pink colors, just nice basic B&W.",5.0
,5.0
Nice,5.0
These are the best shoes I have ever use for my workouts!!! I love them and buy them in bulk!!! LOL,5.0
I love these shoes.  They fit as expected and they look really nice on.  These shoes have a narrow base which I really like.  I don't like the ones that make your foot look wide.,5.0
Love this product.  Great fit.,5.0
Very low cut heel so if you training and pushing sleds - I ran right out of shoes! Although the traction on toe and heel are great,3.0
Just what I needed for Group Fight class. Quick movements and footwork are so easy in these sneakers. Love them.,5.0
Love! Great price too.,5.0
"It's been a long time since I've worked a cross training shoe. This shoe is very light and minimally passed compared to running shoes. That's not meant to be a knock, just a fact.

I ordered the shoes half a size up because as a former runner, I'm used to my feet needing room to spread and swell. I wish I hadn't because they feel a little roomy. I have orthotics, so I think I can remedy the issue once I swap those in.

Otherwise, very good shoes",4.0
"Good indoor training shoes for running on treadmill, doing lunges and regular exercises at the gym. These are very flexible, light weight and comfortable. Grip is okay - sticky rubber is used only at the edges of heel and toe areas so I slipped a little when I worked on cable machines, resistance band, etc. on un-carpeted floor.  I would emphasize that if you do lifting as a part of your everyday routine workout I would not recommend them because mine (cushion) lasted only for six months and this is the reason I gave three stars. Other than that, I liked them!",3.0
Perf.,5.0
Best shoes ever!!!,5.0
Fit good,5.0
I use these for my Cardio Dance class and they are perfect and very cute. I would definitely recommend. They also cam earlier than expected!!,5.0
"I love these shoes so much that  I reordered another pair online. It's hard to find shoes that fit my really wide feet! The heel back is my favorite part on them, they're thin and feel like another layer of skin, not bulky or tight at all.  I walked all over Europe in these!",5.0
Love these sneakers. Light weight and comfortable even without socks.,5.0
Nice product,4.0
I feel like this pair of shoes was made for my feet. Great fit and comfort! Very pleased with this purchase.,5.0
Quick tranasaction!!!  Loved the shoes!!!  Would purchase from them again!!!,5.0
"I got the impression it's cushiony and comfy by reading the reviews on this product, when i tried it on it was a much firmer than my other work shoes, i'm standing all day and need enough support and comfort, this isn't the right product for that.
So i had to return it, but i would assume it would work fine for training.

It looks decent and clean. and seems sturdy.  just not the right thing for me.
I was refunded instantly upon returning so.. credit for that.",3.0
"So comfortable, I don't even feel like I have a sneaker on. Based on the other reviews I got a half a size up and glad I did.",5.0
they are very comfortable feel like you have nothing on.,5.0
My favorite nike shoe,5.0
Super comfortable and extremely lightweight. Great for crossfit!,5.0
Beautiful I love them comfy,5.0
I've not even had them a month and the bottom is coming off. I'm not happy!,1.0
Love them! Fit exactly as expected in length and width! I would definitely buy these again.,5.0
Great shoes,5.0
"My second pair, love the fit, light weight and great support.",5.0
I have wide feet and these were too narrow but very nice looking.,4.0
Ugh... way to large - is this for a man?,3.0
The shoe fit has expected. It is comfortable.,5.0
"They fit great, look great, are quite comfortable and are just what I was looking for!",5.0
"Super comfy, true Size , I use them for boot Camp,  cross fit and they are great , absolutely recommended it.",5.0
"Love them absolutely comfortable. I'm very picky with sneakers and this ones for the price are great I use them for cross fit , boot camp & they work great . The sole is very flexible , true size . I have a wide feet and they fit perfectly. Very nice looking Great sneakers.",5.0
Wife happy with fit.,4.0
They run big. Order a full size smaller.,4.0
"Super light and very comfortable. I'm a runner and they lack a bit in arch support, so the soles of my feet are a sore. I'm going to add an insert to try fix the problem.",3.0
"Just because they are white, they do need a washing regularly but I have received many compliments on how pretty these white and pink shoes are. Extremely good Nike quality. Highly recommended.",5.0
Arrived in time. Fit as exoected. They take some breaking in but I wore them 2 days in a row for more than five hours per day.,5.0
I've been using these to exercise and they are nice a roomy and allow my feet to breath. Also love the colors.,5.0
Comfortable from the start and very light.,5.0
As expected.,5.0
"Lightweight, comfortable, supportive. Very happy I bought these shoes for working out.",4.0
"I love these and have them in a light blue too. Very light weight, airy, and comfortable.",5.0
good quality,5.0
Very comfortable sneakers and I also like the way it fits.,4.0
"Purchased to wear for weightlifting and Zumba. Zumba trial was last night, and they were great! Super comfortable, good ventilation! Not too much padding, very minimalist, which is just what I wanted",4.0
Comfortable and lightweight.,5.0
"I love these shoes my second pair of 40 plus $ shoes and they both have certainly out done the $100 K-swiss that I'm looking to return . The shoes are extremely comfortable, all my clients love them, just wish they came in more colors.",5.0
"They fit as expected and perfect for training, the shoelaces are a little bit too long. Other than that these shoes are as I expected them !",4.0
Extremely well fitting and light weight,5.0
Perfect,5.0
Love them,5.0
"I love these shoes and have worn them for a long time. That are comfy, thinner on the top & sole and are very cute!",5.0
