reviewText,overall
what do you say about a gift card.  It came on time.  My only issue was the lack of choices in the $10 range.,4.0
it great,5.0
Happy son in law,5.0
Great gift idea and easy to give for any occasion. Thanks.,5.0
as expected,5.0
Perfect gift card. kathy,5.0
Exactly what I was looking for!,5.0
Good gift,5.0
"Kudos to Amazon.com for fast delivery, beautiful card.... It's all good! This was a gift for a college student in our family who lives on her own struggling to get by. She's reluctant to accept cash, but I know she needs many things. This is the best choice! Books, music, millions of choices on Kindle, snacks, chicken soup, socks... It's all here! She was soooo excited -- really!",5.0
Perfect for gift giving!,5.0
GREAT GIFT,5.0
it's a gift card!,5.0
"You can buy ANYTHING on Amazon.com.  I give Amazon gift cards for every occasion... birthdays, Christmas, Mother's Day, Father's Day, you name it!!  And the gift cards are always appreciated.  Great bargain since I can send the gift card and they can buy anything they want from Amazon.com!!  And by the way, I really love getting them myself!",5.0
Nice to have and glad to find.,4.0
Great gift,5.0
Always a great gift.,5.0
THANKS,5.0
nice,5.0
Great!,5.0
SATISFIED,5.0
Good gift for anyone,5.0
Easiest cards to use.,5.0
The design of the card is gorgeous. It's a perfect gift for your friends or family.,5.0
as expected.,5.0
Always great for gift giving!,5.0
Every one on my shopping list was happy to receive the card. Shopping is fast and easy on Amazon so why not.,5.0
Recommend getting children/grandchildren gift cards in this day and time of High Tech toys.  Easy to please with a gift card and no wracking the brain.,5.0
I purchased this for my cousin for Christmas.  She loved it and it was great.  It's an amazon gift card!,5.0
"it's a gift card, what else is there to say?",5.0
I ordered one of these when the egift certificate I ordered never arrived at my friends' email.  He spent it before he even got home.  :),5.0
Always love Amazon gift cards as gifts and would recommend to anyone as a gift- you could never go wrong!,5.0
"My son has been considering a Kindle reader. Since I did not know which one he would prefer, I was able to let him make his own choice by presenting him with the Amazon Kindle gift card.",5.0
"Always acceptable and widely enjoyed by all ages and tastes.  When you don't have any idea of a specific gift, these gift cards are perfect.  Also, Amazon has such a large range of items, there is always something for everyone.",5.0
I have a nephew who loves shopping on Amazon and now his two young daughters love it too.  I purchased gift cards for each of them for Christmas so they can experience Amazon too!,5.0
"Friends with Kindles love this. I did not realize how many people buy various things from Amazon!!!! Next year, I will probably up this one.  Wonderful for Kindle users as well.",5.0
What's to go wrong with a gift card.  As long as it enters into a person's account as a credit it is just what you paid for.,5.0
"If you are ever stuck on what to get kids (tweens) this is the way to go!
Who does not love gift cards? They are the same as cash and not as impersonal. That way they spend the money to get what they want and you know they cannot return to store to exchange.",5.0
I like how it is a well made full size Christmas card. Plenty of room to write a sentiment. The gift card is securely attached inside so no worries of it moving about or falling out.,5.0
I love the gift cards come with the card. I am slowly buying for christmas and it will save me money by not buying additional cards,5.0
"Men are hard to buy for, but this gift card covers all the bases since there are unlimited choices offered by Amazon for which it can be redeemed.",5.0
It was a good gift with a fun card to send it in. I enjoyed sending it to a special child in our family.,4.0
"Once again, who but Donald Trump (perhaps The Walton family) could hate an Amazon Gift Card?",5.0
Arrived as promised.,5.0
they are gift cards,5.0
christmas gift.,5.0
Funny,5.0
my 2nd year of giving Amazon gift cards and everyone likes them  Thanks,5.0
What could go wrong with an amazon gift card,5.0
Gave as gift,5.0
These cards are the best gifts and make the holidays stress free!,5.0
Always have a few on hand for last minute birthday gifts,5.0
My recipients absolutely loved their gifts.  I'm going to do this more often.  Recipients love them and there are no returns.  Amazon's gift cards do not expire!,5.0
Great gift to give someone,5.0
Love giftcards...fast delivery!,5.0
Easiest way to get birthday gifts for family and friends.,5.0
"Was a wonderful addition to the 'Saran Wrap Ball' Christmas Party Game!
Thank you very much!",5.0
"Cute card. But I would have liked it to come in a tin. As one of the ones I ordered, the card was bent in half. And couldn't have been done by post office as they were in a box.",3.0
Is as advertised,5.0
"GAVE IT TO A FRIEND, I GUESS HE BOUGHT HIMSELF SOMETHING WITH IT, HE NEVER TOLD ME WHAT HE GOT",5.0
What's not to love about an amazon gift card in a black gift box?  PURRFECT!,5.0
"These gift cards are quick and easy and with so many items to choose from, even a picky shopper will find something they want.  Love em!",5.0
The receiver loved it.,5.0
Nice gift item. Nicely packaged. Reciptian very happy with the gift,5.0
This was a gift,5.0
"Came on time, and exactly as described.",5.0
perfect of multi gift giving.,5.0
A great fan of amazon gift cards!,5.0
very good,5.0
Does what a gift card should :),5.0
"Cute cards, glad I had tins to put them in.",5.0
Can't go wrong with gift cards.,5.0
thanks,5.0
My 11 grandchildren love to receive amazon gift cards to shop online!  I get them for Birthdays and Christmas!,5.0
Perfect!,5.0
They love the Amazon cards. Amazon needs to add more choices in the gift boxes,5.0
convenient gift,5.0
A+,5.0
"Works like a charm. Simply scratch off the back of card for code. Go to Amazon redeem web address. Sign in on Amazon. Type in the code and and click on ""apply to your balance."" Easy Peasy. No fees. I get the entire payment amount as credit on account.",5.0
nice gift and packaging,5.0
Very happy with purchase!,5.0
These were perfect Christmas gifts for the grandkids.,5.0
Love to have amazon cards. Can't go wrong.  I ordered my sister one last year for Christmas and now she is hooked. She loves Amazon. kathy,5.0
Not many things that I can find that will be appreciated as much as this card will be,5.0
great buy,5.0
christmas gift,5.0
GREAT GIFT,5.0
You never go wrong with a gift card,5.0
GREAT GIFT,5.0
"This past November and December I bought all gift cards for my teens, hubby, nieces, nephews, etc.  The amazon giftcard is something you can give anyone with an internet connection",5.0
Gave as a gift,4.0
I love how convenient these are for gifting and how presentable they are,5.0
PERFECT,5.0
"Boxed gift cards are a bit more difficult to use than the emailed version, but nice designs and packaging make them seem more substantial..",5.0
How could money look bad in any denomination. The box is very nice n I am giving it as a gift,5.0
I have bought a lot of these and they are always good.  Amazon has so much stuff that the recipient can buy almost anything with them.,4.0
great gift,5.0
Excellent way to give a gift to someone that lets them select exactly what they want. Fast and secure service.,5.0
Pretty good gift card box. Convenient purchase for future orders with 5% cash back from credit partners.,5.0
Nice Box with Gift Card. Was a very cute B'Day present.,5.0
christmas precent,5.0
Fast shipping and made my boss happy.,5.0
nice box,5.0
Gift Card arrived SUPER SUPER Quick!  A Great Choice for someone who has everything!  Dad was really happy! Will order again!,5.0
"Amazon gift cards are nothing new, and they are very handy to give as gifts due to the diverse nature of products Amazon offers  certainly your recipient can find something he / she will like to order.  These gift boxes, however, are a little more classy than the standard email or printed-off versions at home as it shows you went a little further, the box is very sturdy, and I appreciate the fact Amazon delivers it for free with next day shipping.  If you're going to be spending $50 or more for a gift card, which is the minimum price to have it delivered in a gift box like this, I would recommend you gift this version to your recipients.",5.0
Makes life easy to be able to order online,5.0
Classy way to give a gift card.,4.0
"I found this gift to be thoughtful and smart. Since I am already an Amazon shopper, the card came in handy.",5.0
Good Value,5.0
"Thanks very happy
Gonna get a good leaf blower
A really loud one",5.0
Great item!,5.0
Great purchase. The Gift card worked very good.,5.0
Holiday gift,5.0
Great!,5.0
Great gift idea,5.0
"Delivered as expected, no complaints!",5.0
"I feel like Amazon should limit what can have a product review. I mean seriously, it's a gift card. I guess if you received it and got a paper cut, you may want to warn people that there is that potential hazard. Or maybe you didn't get the correct design, to which I say again, it's a gift card. You're not getting married to it. You'll most likely toss it when you're done with it. I guess there is the chance that the card is not active when you receive it, but even still, that's not the cards fault, it is the card activator person's fault..we should be able to review them and their performance...'my card's activation seemed to be a little slow, even faulty at times. Maybe the card activator person needs more training.' For the record, my card worked, no paper cut, and the design was perfect!",5.0
"If a gift card has the balance you purchased, I guess it gets five stars!",5.0
"I ordered a bunch of gift cards and when the people went to use them, they found they didn't have anything on them. I gave my father in law some cards and other members of my family as Christmas presents! You need to have these double checked before shipping!",2.0
It's a gift card...can't go wrong!,5.0
Love amazon lighting deal gift cards! These were small and super cute. Perfect for gifting!,5.0
This was a gift.,5.0
gift,5.0
"Yes, it arrived quickly and worked perfectly. Very pleased.",5.0
you actually want a review on a gift card?!?!?!,1.0
It's a gift card!,5.0
I have ordered the Ruby Tuesday gift card many times.  No problems ever.,5.0
"IT WAS A GIFT CARD, WHAT CAN I SAY.  GLAD TO HAVE IT MAILED TO ME.",5.0
a very good buy !!,5.0
Love these cards. They are life savers for gifts!!!,5.0
Good product!,5.0
awsome,5.0
Great deal during the holidays when you can get it for $40 and can be upload to your Samsung Pay device so no more lugging around a gift card.,5.0
I love the gift card,5.0
How can you go wrong with a gift card to a place they go?,5.0
It arrived fast and worked when I went to use it.,5.0
loved it,5.0
Great food,5.0
Perfect Gift!,5.0
Excellent!! Loved!! Give these as gifts every Easter!!! : ),5.0
Gift,5.0
Perfect gift for Christmas.,5.0
"Great gift, when you cannot think of what to get someone but you know them enough to know where they dine.",5.0
5 off and we used it for a gift.,5.0
I love Ruby Tuesday and love it even more when I can save money on  a gift card!,5.0
This $25 gift card to Ruby Tuesday worked perfectly! I gave it to my parents as part of their anniversary presents and they used it at Ruby Tuesday. Their bill totaled $33.56 but they only had to pay $8.56 because of this gift card. Made of sturdy plastic with raised numbers and a magnetic strip on the back. Had a very nice design on the front!,5.0
it's gift card....,5.0
Good food,5.0
Great!,5.0
It's a gift card!,5.0
Fine,5.0
Bought for someones birthday . they like ruby tuesday. Its a gift card nothing negative about it,5.0
worked,5.0
I got this for a birthday present for someone that loves to eat at this place.  What a great price when I got it on lightning deal.  I hope it will come up again.,5.0
"This is a good all round restaurant.  It is one the younger folks like.  My only complaint is the noise level of music and TV.  Great, otherwise.",5.0
ok,5.0
"Wish there was an email delivery option, but as there is not this is the next best thing.",4.0
"Purchasing from one retailer is always a convenience.  When the choice is plentiful, it makes it easier.",5.0
great food!,5.0
tasty,5.0
Used it right away and didn't have to pay much more for two salads and a sandwich.,5.0
Good Product;,5.0
fast delivery and card worked,5.0
gift,5.0
You cant go wrong with Coldstone.,4.0
"As others have said, there's not much you can say about a gift card. I got it as a Prime Day deal - $20 for $25 so I was happy to save $5. The cardboard that the gift card is glued to was all ripped and taped up when it arrived - weird - so I checked the balance to make sure it was a legit gift card before using.",5.0
Nothing beats getting a $25 gift card for $20!  A little free money is better than no free money :-),5.0
Mmmmm,5.0
"If a gift card has the balance you purchased, I guess it gets five stars!",5.0
We are using for a Christmas gift to relatives.,5.0
Who could have a problem with this gift card! Purchased as a birthday present for co-worker.,5.0
Who does not love Cold Stone? Easily one of the best gifts to give to someone.,5.0
Bought as a gift recipient seem to really like them.,5.0
Gift Card + Applebee's = happy children!,5.0
"I ordered a bunch of gift cards and when the people went to use them, they found they didn't have anything on them. I gave my father in law some cards and other members of my family as Christmas presents! You need to have these double checked before shipping!",2.0
Love amazon gift cards! These were small and super cute. Perfect for gifting!,5.0
This was a gift.,5.0
Great gift but I had no idea that Applebees were offering a 20.00 gift card when gifts were purchased from them directly. Amazon offers nothing to folks who are always purchasing... hint hint.,5.0
husband loves Applebees,5.0
"Good investment, found it on the daily deals. Bought at $40",5.0
Very good Applebees gift card. What a nice treat to someone!,5.0
Date night,5.0
Awesome,5.0
great gifts,4.0
Arrive on Time can't wait to use the gift card.,5.0
It's a gift card!  What's to review.  It arrived quickly and worked when we tried to use it.,5.0
works great,5.0
Gift Card Worked.,5.0
gave as gift,5.0
A very good gift for someone special!,5.0
nice,5.0
Great deal during the holidays when you can get it for $40 and can be upload to your Samsung Pay device so no more lugging around a gift card.,5.0
Gift,5.0
"Item as described, arrived on time.",5.0
Daughter Loved it,5.0
Just for my parents benefits,4.0
I bought this for Christmas and my brother reported that it worked as expected,5.0
exactly what I wanted,5.0
Works just as it should. Would order again.,5.0
Good,5.0
"Purchased this gift card for my brother in KS.  He will like to use it and eat out as he is a single guy.  Could have purchased this at a grocery store where we live but did through Amazon so I would have $49 along w/other purchases, to get the free shipping which, to me, is a good way to shop.  I don't like paying shipping fees.  Sometimes, they are more than the item I am buying, especially w/some catalog orders.",5.0
"Perfect gift!
Took the family out to eat!",5.0
Thanks I purchase these gift cards for my grandchildren..  My grandson graduated.  so handy for his road trip.. That's Amazon for making this available,5.0
Going to use it for our road trip!,5.0
Easy to purchase-great gift,5.0
good,5.0
Perfect gift!!!,5.0
Great present,5.0
gifts,5.0
Great value for only 18.50,5.0
LOVE THIS PLACE...,5.0
Awesome!!!,5.0
"Perfect. Bought as a gift, the recipient loved it.",5.0
Love the discounted price,5.0
"This was a very well-received gift for a young couple who go to Applebee's a great deal. Since they live hundreds of miles away, I couldn't be there to take them out to lunch, but this will achieve the same thing! I'm so grateful that Amazon had this available to ship because I don't live anywhere near this restaurant. Excellent purchase.",5.0
"Great gift, when you cannot think of what to get someone but you know them enough to know where they dine.",5.0
"Purchased for a gift, excellent thanx",5.0
Got this for my niece and she loves it!!!,5.0
Happy hour rocks,5.0
Great!,5.0
Good...!!!,5.0
Love it!!!! Thanks!!!!,5.0
Satisfied,5.0
Mmmmmm,5.0
"got on time, easy to use, just as described",5.0
Thank you!!,5.0
recipient was thrilled to receive!,5.0
"Applebee's is really good, you can't go wrong. There is something on the menu for everyone so this makes a great gift. Highly recommended!",5.0
"Haven't used the card yet, but we really like the food at Applebee's. I hope we can go there very soon!",4.0
"I feel like Amazon should limit what can have a product review. I mean seriously, it's a gift card. I guess if you received it and got a paper cut, you may want to warn people that there is that potential hazard. Or maybe you didn't get the correct design, to which I say again, it's a gift card. You're not getting married to it. You'll most likely toss it when you're done with it. I guess there is the chance that the card is not active when you receive it, but even still, that's not the cards fault, it is the card activator person's fault..we should be able to review them and their performance...'my card's activation seemed to be a little slow, even faulty at times. Maybe the card activator person needs more training.' For the record, my card worked, no paper cut, and the design was perfect!",5.0
"Always a good choice.  Will give these again. We go to Applebee's frequently.  Next year, will give again to several people",5.0
"I chose this idea as a Christmas gift for my mom and Grandmother. It arrived on thing, which made me happy.",5.0
"I was very happy I was able to choose an Applebee's gift card to send to my dad, he loves their burgers! Thanks Amazon!",5.0
love it,5.0
The product arrived as it was described on line. The family will love the card on Christms. Wonderful and fast gift for anyone.,4.0
"Exactly as shown. No activation charge, just regular $25 gift card. I give a bunch for high school graduations to places around where theyll be going to college.",5.0
Good product.,5.0
What's not to like,5.0
Stepson used it for a pin gun.  Was a gift.,5.0
Was a gift.,5.0
love getting 5% back buying giftcards when I use my amazon card!!,5.0
Dont like extra fee. Will buy straight from store from now on.,1.0
Great,5.0
As described...it's a gift card!,5.0
It's a gift card...as it says!,5.0
great gift,5.0
Does what a gift card should :),5.0
works great,5.0
Bought as a lightning deal and received it promptly. It worked when I went to use it.,5.0
"thanks, son will love it",5.0
cute holiday graphics on the gift card,5.0
yummy,5.0
Great gift,5.0
"Love Cracker Barrel and especially gift cards. It's a great country food type of place to eat.
Every one that I have been to has great service, great food and the gift card makes paying so much faster.",5.0
Easy to use,5.0
Christmas Gift,5.0
"What could be better than a IHOP Gift Card. It's easy to use, makes paying faster and I can
go have the best pancakes around!",5.0
Great gift,5.0
"My friend-----the ""handy man""-----lives THOUSANDS of miles away...
GIFT CARDS are an easy way to send $$$ to my friend... without any
help from Western Union.",5.0
yum,5.0
Great gift idea when you do not know what to do!,5.0
Gift Card Worked.,5.0
A gift.,5.0
"it's a gift card, what can I say",5.0
Nice,5.0
"Like any other gift card, got it and it works.",5.0
"Good buy, worked as needed.",5.0
"Easy Christmas shopping. My son, who is really hard to buy for, asked for restaurant cards. H likes to take his wife and family out to eat (to give her a break from cooking all the time).",5.0
great gift,5.0
Loved it,5.0
Always a great gift,5.0
Bought this for my daughters christmas. She loves Ihop and the first thing she wanted to do is take me to lunch. Win win!,4.0
Great Gift,5.0
"Item as described, arrived on time.",5.0
It was a gift card.  What can I say.,5.0
worked fine,5.0
"Perfect, thank you!",5.0
Just for my parents benefits,4.0
Nice,5.0
I keep gift cards around the office for employees that go above and beyond. I Hop is a favorite.,5.0
Satisfied,5.0
Great product from a great seller,5.0
Good gift card. Good food. What's not to like?,5.0
"Waffles, come on!  Worth every penny!",5.0
Great Item! Great Gift!,5.0
loved it,5.0
ok,5.0
Great buy,5.0
Good gift card. Good food.,5.0
I will take a $50 gift card for $40 any day!!! Basically $10 for free. Love it.,5.0
"Gift cards what else can I say
 They work without have to carry cash and credit. Swipe and go.",5.0
"My MIL likes flowers, likes candy, but she loves to eat out at the Cracker Barrel.  Perfect gift for those who love to dine out.",5.0
Great food!,5.0
Good place to eat,5.0
gifts,5.0
love it,5.0
Whats not to love about a gift card ???,5.0
great gift,5.0
Pleased with purchase of card,5.0
worked,5.0
Gift,5.0
Appropriate!!,5.0
Easy to purchase-great gift,5.0
excellent gift,5.0
"Great gift, when you cannot think of what to get someone but you know them enough to know where they dine.",5.0
Satisfied.,5.0
Great gift,5.0
Nice,5.0
I love Cracker Barrel and decided to give this as a Christmas gift.,5.0
gifts,5.0
"Great, thanks",5.0
Love IHOP,5.0
Got this for my niece and she loves it!!!,5.0
easy to use,5.0
Outstanding,5.0
Happy husband,5.0
Great product with fast delivery,5.0
Great!,5.0
Good...!!!,5.0
Good choice.,5.0
We love eating here,5.0
Bought for my family and they love these gift cards.,5.0
Satisfied,5.0
If you or a someone you know likes Ihop it works like it supposed to work,5.0
fast delivery and card worked,5.0
Love Cracker Barrel any time of the year.,5.0
"Love the service , food and store...one of a kind dining old fashioned)",5.0
Excellent Christmas gift,5.0
"Card worked fine and I love this restaurant, but I spent it all in the store portion before I ate. Lol.",5.0
Great southern food,5.0
Was for my Daughter in which she Loved !!!,5.0
Pretty good deal of purchasing the gift card online and then shop locally.,5.0
fast delivery and card worked,5.0
BIRTHDAY GIFT...HE LOVES  GOING OUT FOR BREAKFEAST. SO THIS IS THE PEFECT GIFT....THANKS FOR SELLING THE GIFT CARD ON AMAZON. JUST A CLICK AWAY.,5.0
Great choice for breakfast lovers. I gave this gift card to my Mom for the holidays. She was so excited. She loves the meals at IHOP and the Senior specials.,5.0
Got this for a gift to send out to my dad and he enjoyed it! I appreciate the selection that amazon has to offer me!,5.0
This card is perfect for the in-laws to use on there mornings out or on the way to see family at the coast.,4.0
"Um, I am not sure why I have to write a review as it is a gift card. Seems a little unnecessary, but here it goes....card worked awesome. I was able to buy stuff From Ihop....",5.0
i like it,5.0
I used them on our vacation.,5.0
"I feel like Amazon should limit what can have a product review. I mean seriously, it's a gift card. I guess if you received it and got a paper cut, you may want to warn people that there is that potential hazard. Or maybe you didn't get the correct design, to which I say again, it's a gift card. You're not getting married to it. You'll most likely toss it when you're done with it. I guess there is the chance that the card is not active when you receive it, but even still, that's not the cards fault, it is the card activator person's fault..we should be able to review them and their performance...'my card's activation seemed to be a little slow, even faulty at times. Maybe the card activator person needs more training.' For the record, my card worked, no paper cut, and the design was perfect!",5.0
"I love Cracker Barrel and it's alwy a good and cheap meal.  A game of checkers while rocking in an old fashioned rocking chair, anyone?",5.0
"I wasn't able to get out and shop.  This was an excellent
alternative for me to purchase a favorite place to eat for
people who enjoy their food.",5.0
"convenient. Reasonable. Something for everyone.  Better than average for this type of food. Best of all, they serve breakfast anytime!",5.0
Good selection of restaurant gift cards to choose from. Didn't have any problems at all. Makes a nice gift for anyone in your family..,5.0
"Great, lightning fast shipping, thank you as always!",5.0
Always an appreciated gift.,5.0
exactly what I wanted,5.0
Love Kmart!,5.0
Love kmart!,5.0
Really nice gift box.,5.0
My 11 grandchildren love to receive amazon gift cards to shop online!,5.0
I love and appreciate what Amazon did to make gift card-gifting more fun and interesting. Perfect for those who prefer a retro feel.,5.0
Great gift,5.0
Nice quality case.,5.0
Gift.. He was Happy,5.0
Great gift for a teenager,5.0
Love it.,5.0
I received my gift card on time.  Thank you!...;),5.0
Come with nice box. Great for gift.,5.0
Cute box.,5.0
Good,5.0
"This is the perfect gift.  If you're ever unsure of what to buy someone, this is an easy go-to.  You can find anything on Amazon.",5.0
Nice presentation for a teenager...not too flashy or grown up.,5.0
What a perfect gift to give to relatives or friends. This is the third time I bought this kind of gift card on Amazon.,5.0
Bought this for my father (an avid Amazon.com user) and I am sure he used it within a few days.,5.0
The perfect gift when you don't know what to buy. As a bonus the gift box is attractive and useful.,4.0
"Came on time and I used text messaging so I knew where the package was at every step.

I prefer the metal tin gift cards even though the minimum amount is $50. Tin is durable and had no dents in it.

I love these gift cards. No activation or security fee. No expiration date. $50 gets me $50 to gift to someone! My family also has Amazon Prime so I know they'll get good use out of it. I got them a set last year and am happy they're now familiar with ordering online.",5.0
"Just didn't  know  it was for a girl  gift card, and I was  looking  around  Christmas tree  gifts  cards and type  in right  it was for a boy and I did the e card so he could use it then.",3.0
Just what I needed,5.0
Great Christmas gift,5.0
Gift cards are always good.,5.0
"Bought several for my pre-teen granddaughter who is enjoying shopping for her new clothes. Put the cards in a darling ""change-style"" purse that she can continue to use.",5.0
thanks,5.0
"Perfect gift for our pre-teen niece, and I love the convenience of ordering it through Amazon.",5.0
very happy with purchase,5.0
Happy grand daughter,5.0
Worked as it should,5.0
Great gift for the stylish preteen,5.0
Just what I needed for a birthday,4.0
"Amazon made it easy for me to solve the the late Christmas present issue; Knowing which restaurants & stores the prospective recipients favoured, I sent 2-3 gift card per person.
What I like best about amazon is that no fees were charged for electronic delivery.
(Compare to buying a gift certificate from a Mall or some outlets who charge up to 5%).",5.0
I KNOW MY GRANDDAUGHTER WILL LOVE TO SHOP ONLINE......,5.0
Gift,5.0
$50 is $50.  What else can I say?,5.0
love it,5.0
Great x mis got,5.0
Good Product; Shipping On time,4.0
It's a gift card...,5.0
fast delivery and card worked,5.0
they love express shopping!!!,5.0
My niece loved the gift card.,5.0
christmas gift.,5.0
Love them,5.0
"Came on time, and exactly as described.",5.0
Always a great gift,5.0
Great addition to Christmas!  Wonderful stocking stuffer.,5.0
nice decorative box,5.0
Tasteful packaging.,5.0
Excellent,5.0
Can never go wrong with an Amazon gift card for that person who shops Amazon.,5.0
Granddaughter loved this!,5.0
My nephew loved the gift card I gave him,5.0
It was the perfect gift.,5.0
nice gifts,5.0
Awesome!,5.0
Arrived as promised.,5.0
great,5.0
Product arrived on time and as described.,5.0
Always a good gift. Nice package!,5.0
"Amazon gift cards are nothing new, and they are very handy to give as gifts due to the diverse nature of products Amazon offers  certainly your recipient can find something he / she will like to order. These gift boxes, however, are a little more classy than the standard email or printed-off versions at home as it shows you went a little further, the box is very sturdy, and I appreciate the fact Amazon delivers it for free with next day shipping. If you're going to be spending $50 or more for a gift card, which is the minimum price to have it delivered in a gift box like this, I would recommend you gift this version to your recipients.",5.0
Very nice,5.0
nothing better than an Amazon gift card for Christmas,5.0
Satisfied,5.0
nice christmas theme on the box.,5.0
love it,5.0
Perfect gift for my grandson.,5.0
Great....,5.0
Arrived as promised.,5.0
great,5.0
And another great Chiatmas gift.,5.0
"Gift Card, what can you say but Thanks",5.0
My 11 grandchildren love to receive amazon gift cards to shop online!  I get them for Birthdays and Christmas!,5.0
Gotta love amazon GCs!,5.0
It was a Christmas gift. I am sure they liked it.,5.0
They love the Amazon cards. Amazon needs to add more choices in the gift boxes,5.0
Gift card for my daughter and family to order what they want on Amazon at Christmas time.,5.0
Wonderful addition to Christmas!  The kids - all in their 20s and early 30s- loved the gift cards in their stockings.,5.0
"This little Santa tin is adorable, and an Amazon gift card is always a win.",5.0
Perfect,5.0
Great Christmas gift.,5.0
Very nice tin and can be used for other things after Christmas.,4.0
was gift,4.0
Great gift. Everyone loves Amazon,5.0
big thanks from everyone I sent an Amazon gift card to,5.0
Amazon has great quality gift tins at no extra charge! Colors are really festive and bright on this tin that resembles Santa suit. Great gift that requires no wrapping.,5.0
great gift!,5.0
Son loved this!,5.0
Arrived as promised.,5.0
Cute gift tin.,5.0
Pretty good!,5.0
goo,5.0
Awesome!,5.0
Gift - tins were very nice,5.0
very nice,5.0
Christmas Gift,5.0
Good gift for anyone,5.0
Always a perfect gift.,5.0
wish they labeled,5.0
Great gift.,5.0
great gift and the tin is cool.,5.0
"Used this as a thank you gift for someone who shops Amazon.  This is always a great gift, like you have this extra cash to find something you wouldn't buy for yourself.  The card with the decorative box is a wonderful idea.",5.0
Perfect,5.0
gift,5.0
Great...,5.0
What's not to love,5.0
This was a great gift to give!,5.0
Nor much to judge on a gift card.,5.0
"Gave this to my brother as a gift, he loved the packaging",5.0
Excellent way to give a gift.,5.0
"What can one say, they are a gift card and it works.",5.0
My 11 grandchildren love to receive amazon gift cards to shop online!  I get them for Birthdays and Christmas!,5.0
Cute,5.0
Loved it.,5.0
I like Amazon gift cards because they are always here on time and allow folks a large variety of items to pick from.  They get what they really want with a gift card.,5.0
An extra Gift card for my daughter and her family to use at Christmas time.,5.0
Excellent way to give a gift that allows the receiver to select from a almost limitless selection of gifts to receive.,5.0
ez x-mas shopping,5.0
"Great gift, couldn't be easier!",5.0
"This little boxed gift card is such a handy stocking stuffer, and I don't even have to wrap it.  It makes a nice gift for all the guys in my life who don't give me a clue as to what they want.",5.0
Perfect for the grandchildren!,5.0
I bought my Amazon gift cards online this time because of the boxes they come in. Good deal and lots of boxes to choose from. Thanks! Will buy again online.,5.0
Certainly a simple gift,5.0
Gift,5.0
So cute. Just like a mini shipping box.,5.0
Love the holiday tins and the awesome card inside!,5.0
Cute Box.,5.0
Nice for gift card presents,5.0
Gift cards are always a sure bet for a gift.,5.0
convenient gift,5.0
"Was a wonderful addition to the 'Saran Wrap Ball' Christmas Party Game!
Thank you!",5.0
Liked the assortment of cases,5.0
PERFECT,5.0
A+,5.0
Makes nice gift card presentation.,5.0
We purchased this for present to someone and it arrive nicely and a great way to gift someone in a box that looks like a present but yet they can get virtually anything they want via the internet.  Looks like already wrap so you don't have to do much of anything but purchase it and then gift it to someone.,5.0
love gift cards,5.0
"great, know this will get spent",5.0
gift,5.0
good,5.0
